,u,v,key,osmid,bridge,oneway,length,geometry
60,411686024,411686025,0,218215448,yes,False,42.398,"LINESTRING (103.9022066 1.4013732, 103.9018654 1.4015436)"
61,411686024,2274880216,0,218215448,yes,False,220.293,"LINESTRING (103.9022066 1.4013732, 103.903986 1.4005011)"
62,411686025,411685947,0,218215448,yes,False,68.019,"LINESTRING (103.9018654 1.4015436, 103.9013221 1.401825)"
63,411686025,411686024,0,218215448,yes,False,42.398,"LINESTRING (103.9018654 1.4015436, 103.9022066 1.4013732)"
64,411686452,411686453,0,218215448,yes,False,192.316,"LINESTRING (103.9046747 1.4080003, 103.9061208 1.4070509)"
65,411686452,2274884827,0,218215448,yes,False,16.612,"LINESTRING (103.9046747 1.4080003, 103.9045461 1.4080764)"
66,411686453,411686455,0,218215448,yes,False,189.522,"LINESTRING (103.9061208 1.4070509, 103.9075124 1.4060662)"
67,411686453,411686452,0,218215448,yes,False,192.316,"LINESTRING (103.9061208 1.4070509, 103.9046747 1.4080003)"
68,411686455,2274884395,0,218215448,yes,False,89.007,"LINESTRING (103.9075124 1.4060662, 103.9081781 1.4056214)"
69,411686455,411686453,0,218215448,yes,False,189.522,"LINESTRING (103.9075124 1.4060662, 103.9061208 1.4070509)"
70,411686457,2274882786,0,218215448,yes,False,55.961,"LINESTRING (103.9110983 1.4034957, 103.9115091 1.4032048)"
71,411686457,1839721787,0,218215448,yes,False,230.673,"LINESTRING (103.9110983 1.4034957, 103.9094083 1.4046995)"
72,411686458,411686459,0,218215448,yes,False,322.88,"LINESTRING (103.9128752 1.4022373, 103.9152176 1.4005203)"
73,411686458,2274882440,0,218215448,yes,False,107.509,"LINESTRING (103.9128752 1.4022373, 103.9120932 1.4028062)"
74,411686459,2274879651,0,218215448,yes,False,94.203,"LINESTRING (103.9152176 1.4005203, 103.9159226 1.4000502)"
75,411686459,411686458,0,218215448,yes,False,322.88,"LINESTRING (103.9152176 1.4005203, 103.9128752 1.4022373)"
76,411686461,1839722276,0,218215448,yes,False,21.662,"LINESTRING (103.9181126 1.3983023, 103.9181859 1.3981218)"
